shop1(goodsName,inPrice,outPrice,quantity,sold):
milk		3	7	23	10
water		2	4	33	29
pie		19	29	18	9
bag		90	130	20	8
cola		3	5	20	18
milk		3	7	23	10
water		2	4	33	29
pie		19	29	18	9
bag		90	130	20	8
cola		3	5	20	18
milk		3	7	23	10
water		2	4	33	29
pie		19	29	18	9
bag		90	130	20	8
cola		3	5	20	18
milk		3	7	23	10
water		2	4	33	29
pie		19	29	18	9
bag		90	130	20	8
cola		3	5	20	18
milk		3	7	23	10
water		2	4	33	29
pie		19	29	18	9
bag		90	130	20	8
cola		3	5	20	18
milk		3	7	23	10
water		2	4	33	29
pie		19	29	18	9
bag		90	130	20	8
cola		3	5	20	18
shop2(goodsName,inPrice,outPrice,quantity,sold):
milk		3	7	23	10
water		2	4	33	29
pie		19	29	18	9
bag		90	130	20	8
cola		3	5	20	18
milk		3	7	23	10
water		2	4	33	29
pie		19	29	18	9
bag		90	130	20	8
cola		3	5	20	18
milk		3	7	23	10
water		2	4	33	29
pie		19	29	18	9
bag		90	130	20	8
cola		3	5	20	18
milk		3	7	23	10
water		2	4	33	29
pie		19	29	18	9
bag		90	130	20	8
cola		3	5	20	18
milk		3	7	23	10
water		2	4	33	29
pie		19	29	18	9
bag		90	130	20	8
cola		3	5	20	18
milk		3	7	23	10
water		2	4	33	29
pie		19	29	18	9
bag		90	130	20	8
cola		3	5	20	18
